15:03:07.069 [main] INFO  com.dc.dms.Application - org.springframework.boot.actuate.autoconfigure.AuditAutoConfiguration
15:03:07.070 [main] INFO  com.dc.dms.Application - org.springframework.boot.actuate.autoconfigure.AuditAutoConfiguration$AuditEventRepositoryConfiguration
15:03:07.070 [main] INFO  com.dc.dms.Application - org.springframework.boot.actuate.autoconfigure.EndpointAutoConfiguration
15:03:07.070 [main] INFO  com.dc.dms.Application - org.springframework.boot.actuate.autoconfigure.EndpointAutoConfiguration$RequestMappingEndpointConfiguration
15:03:07.070 [main] INFO  com.dc.dms.Application - org.springframework.boot.actuate.autoconfigure.EndpointMBeanExportAutoConfiguration
15:03:07.070 [main] INFO  com.dc.dms.Application - org.springframework.boot.actuate.autoconfigure.EndpointWebMvcAutoConfiguration
15:03:07.070 [main] INFO  com.dc.dms.Application - org.springframework.boot.actuate.autoconfigure.EndpointWebMvcAutoConfiguration$ApplicationContextFilterConfiguration
15:03:07.071 [main] INFO  com.dc.dms.Application - org.springframework.boot.actuate.autoconfigure.EndpointWebMvcAutoConfiguration$EndpointWebMvcConfiguration
15:03:07.071 [main] INFO  com.dc.dms.Application - org.springframework.boot.actuate.autoconfigure.EndpointWebMvcManagementContextConfiguration
15:03:07.071 [main] INFO  com.dc.dms.Application - org.springframework.boot.actuate.autoconfigure.HealthIndicatorAutoConfiguration
15:03:07.071 [main] INFO  com.dc.dms.Application - org.springframework.boot.actuate.autoconfigure.HealthIndicatorAutoConfiguration$DataSourcesHealthIndicatorConfiguration
15:03:07.071 [main] INFO  com.dc.dms.Application - org.springframework.boot.actuate.autoconfigure.HealthIndicatorAutoConfiguration$DiskSpaceHealthIndicatorConfiguration
15:03:07.072 [main] INFO  com.dc.dms.Application - org.springframework.boot.actuate.autoconfigure.InfoContributorAutoConfiguration
15:03:07.072 [main] INFO  com.dc.dms.Application - org.springframework.boot.actuate.autoconfigure.ManagementServerPropertiesAutoConfiguration
15:03:07.072 [main] INFO  com.dc.dms.Application - org.springframework.boot.actuate.autoconfigure.MetricExportAutoConfiguration
15:03:07.072 [main] INFO  com.dc.dms.Application - org.springframework.boot.actuate.autoconfigure.MetricExportAutoConfiguration$MetricExportPropertiesConfiguration
15:03:07.072 [main] INFO  com.dc.dms.Application - org.springframework.boot.actuate.autoconfigure.MetricExportAutoConfiguration$StatsdConfiguration
15:03:07.072 [main] INFO  com.dc.dms.Application - org.springframework.boot.actuate.autoconfigure.MetricFilterAutoConfiguration
15:03:07.073 [main] INFO  com.dc.dms.Application - org.springframework.boot.actuate.autoconfigure.MetricRepositoryAutoConfiguration
15:03:07.073 [main] INFO  com.dc.dms.Application - org.springframework.boot.actuate.autoconfigure.MetricRepositoryAutoConfiguration$FastMetricServicesConfiguration
15:03:07.073 [main] INFO  com.dc.dms.Application - org.springframework.boot.actuate.autoconfigure.PublicMetricsAutoConfiguration
15:03:07.073 [main] INFO  com.dc.dms.Application - org.springframework.boot.actuate.autoconfigure.PublicMetricsAutoConfiguration$DataSourceMetricsConfiguration
15:03:07.073 [main] INFO  com.dc.dms.Application - org.springframework.boot.actuate.autoconfigure.PublicMetricsAutoConfiguration$TomcatMetricsConfiguration
15:03:07.073 [main] INFO  com.dc.dms.Application - org.springframework.boot.actuate.autoconfigure.TraceRepositoryAutoConfiguration
15:03:07.073 [main] INFO  com.dc.dms.Application - org.springframework.boot.actuate.autoconfigure.TraceWebFilterAutoConfiguration
15:03:07.074 [main] INFO  com.dc.dms.Application - org.springframework.boot.autoconfigure.AutoConfigurationPackages
15:03:07.074 [main] INFO  com.dc.dms.Application - org.springframework.boot.autoconfigure.PropertyPlaceholderAutoConfiguration
15:03:07.074 [main] INFO  com.dc.dms.Application - org.springframework.boot.autoconfigure.condition.BeanTypeRegistry
15:03:07.074 [main] INFO  com.dc.dms.Application - org.springframework.boot.autoconfigure.context.ConfigurationPropertiesAutoConfiguration
15:03:07.074 [main] INFO  com.dc.dms.Application - org.springframework.boot.autoconfigure.dao.PersistenceExceptionTranslationAutoConfiguration
15:03:07.074 [main] INFO  com.dc.dms.Application - org.springframework.boot.autoconfigure.info.ProjectInfoAutoConfiguration
15:03:07.075 [main] INFO  com.dc.dms.Application - org.springframework.boot.autoconfigure.internalCachingMetadataReaderFactory
